,bundle,chain_A,chain_B,id
20,arbitrum,ethereum,arbitrum,arbitrum
22,avalanche,avalanche,bitcoin,avalanche-bitcoin
21,avalanche,avalanche,ethereum,avalanche-ethereum
41,axelar,axelar,ethereum,axelar-ethereum
42,axelar,axelar,bsc,axelar-bsc
43,axelar,axelar,avalanche,axelar-avalanche
44,axelar,axelar,polygon,axelar-polygon
45,axelar,axelar,fantom,axelar-fantom
46,axelar,axelar,moonbeam,axelar-moonbeam
47,axelar,axelar,cosmoshub,axelar-cosmoshub
48,axelar,axelar,osmosis,axelar-osmosis
49,axelar,axelar,juno,axelar-juno
38,binance-peg,bsc,avalanche,binance-peg-assets-avalanche
37,binance-peg,bsc,ethereum,binance-peg-assets-ethereum
39,binance-peg,bsc,cosmoshub,binance-peg-assets-cosmoshub
40,binance-peg,bsc,near,binance-peg-assets-near
23,gnosis-chain,ethereum,gnosis-chain,gnosis-chain
25,gravitybridge,gravitybridge,ethereum,gravitybridge-ethereum
28,ibc,gravitybridge,evmos,gravitybridge-evmos
55,ibc,cosmoshub,evmos,cosmoshub-evmos
54,ibc,osmosis,evmos,osmosis-evmos
50,ibc,osmosis,cosmoshub,osmosis-cosmoshub
53,ibc,osmosis,secretnetwork,osmosis-secretnetwork
52,ibc,cosmoshub,juno,cosmoshub-juno
51,ibc,osmosis,juno,osmosis-juno
26,ibc,gravitybridge,osmosis,gravitybridge-osmosis
27,ibc,gravitybridge,cosmoshub,gravitybridge-cosmoshub
6,multichain,ethereum,avalanche,multichain-ethereum-avalanche
7,multichain,ethereum,bsc,multichain-ethereum-bsc
8,multichain,ethereum,fantom,multichain-ethereum-fantom
11,multichain,avalanche,fantom,multichain-avalanche-fantom
10,multichain,avalanche,bsc,multichain-avalanche-bsc
15,multichain,fantom,moonbeam,multichain-fantom-moonbeam
12,multichain,avalanche,moonbeam,multichain-avalanche-moonbeam
13,multichain,bsc,fantom,multichain-bsc-fantom
14,multichain,bsc,moonbeam,multichain-bsc-moonbeam
9,multichain,ethereum,moonbeam,multichain-ethereum-moonbeam
24,optimism,ethereum,optimism,optimism
18,polkadot,moonbeam,acala,polkadot-moonbeam-acala
17,polkadot,polkadot,acala,polkadot-polkadot-acala
16,polkadot,polkadot,moonbeam,polkadot-polkadot-moonbeam
57,polygon,ethereum,polygon,polygon
56,rainbow,ethereum,near,rainbow-ethereum
35,ren,bitcoin,arbitrum,ren-bitcoin-arbitrum
34,ren,bitcoin,optimism,ren-bitcoin-optimism
33,ren,bitcoin,fantom,ren-bitcoin-fantom
32,ren,bitcoin,avalanche,ren-bitcoin-avalanche
31,ren,bitcoin,bsc,ren-bitcoin-bsc
30,ren,bitcoin,solana,ren-bitcoin-solana
29,ren,bitcoin,ethereum,ren-bitcoin-ethereum
36,ren,bitcoin,polygon,ren-bitcoin-polygon
19,wbtc,bitcoin,ethereum,wbtc
5,wormhole,bsc,avalanche,wormhole-bsc-avalanche
4,wormhole,solana,avalanche,wormhole-solana-avalanche
3,wormhole,solana,bsc,wormhole-solana-bsc
2,wormhole,ethereum,avalanche,wormhole-ethereum-avalanche
1,wormhole,ethereum,bsc,wormhole-ethereum-bsc
0,wormhole,ethereum,solana,wormhole-ethereum-solana
